Landskode	Stadnamn nynorsk	Stadnamn bokmål	Stadnamn engelsk	Geonames-ID	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Landsnamn nynorsk	Landsnamn bokmål	Landsnamn engelsk	Folketal	Lat	Lon	Høgd over havet	Lenke til nynorsk-XML	Lenke til bokmåls-XML	Lenke til engelsk-XML
AD	Vila	Vila	Vila	3038832	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.53222	1.57392	1418	http://www.yr.no/stad/Andorra/Encamp/Vila/varsel.xml	http://www.yr.no/sted/Andorra/Encamp/Vila/varsel.xml	http://www.yr.no/place/Andorra/Encamp/Vila/forecast.xml
AD	Sornàs	Sornàs	Sornàs	3038872	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.56540	1.52870	1514	http://www.yr.no/stad/Andorra/Ordino/Sornàs/varsel.xml	http://www.yr.no/sted/Andorra/Ordino/Sornàs/varsel.xml	http://www.yr.no/place/Andorra/Ordino/Sornàs/forecast.xml
AD	Sispony	Sispony	Sispony	3038852	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.53355	1.51481	1252	http://www.yr.no/stad/Andorra/la_Massana/Sispony/varsel.xml	http://www.yr.no/sted/Andorra/la_Massana/Sispony/varsel.xml	http://www.yr.no/place/Andorra/la_Massana/Sispony/forecast.xml
AD	Segudet	Segudet	Segudet	3039132	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.55755	1.53858	1556	http://www.yr.no/stad/Andorra/Ordino/Segudet/varsel.xml	http://www.yr.no/sted/Andorra/Ordino/Segudet/varsel.xml	http://www.yr.no/place/Andorra/Ordino/Segudet/forecast.xml
AD	Sant Pere	Sant Pere	Sant Pere	3039154	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.57952	1.65362	1767	http://www.yr.no/stad/Andorra/Canillo/Sant_Pere/varsel.xml	http://www.yr.no/sted/Andorra/Canillo/Sant_Pere/varsel.xml	http://www.yr.no/place/Andorra/Canillo/Sant_Pere/forecast.xml
AD	Andorra la Vella	Andorra la Vella	Andorra la Vella	3041563	Hovudstad	Hovedstad	capital	Andorra	Andorra	Andorra	20430	42.50779	1.52109	1073	http://www.yr.no/stad/Andorra/Andorra_la_Vella/Andorra_la_Vella/varsel.xml	http://www.yr.no/sted/Andorra/Andorra_la_Vella/Andorra_la_Vella/varsel.xml	http://www.yr.no/place/Andorra/Andorra_la_Vella/Andorra_la_Vella/forecast.xml
AD	les Escaldes	les Escaldes	Escaldes-Engordany	3038832	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	15853	42.50729	1.53414	1350	http://www.yr.no/stad/Andorra/Escaldes-Engordany/les_Escaldes/varsel.xml	http://www.yr.no/sted/Andorra/Escaldes-Engordany/les_Escaldes/varsel.xml	http://www.yr.no/place/Andorra/Escaldes-Engordany/Escaldes-Engordany/forecast.xml
AD	Encamp	Encamp	Encamp	3040686	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	11223	42.53451	1.57670	1309	http://www.yr.no/stad/Andorra/Encamp/Encamp/varsel.xml	http://www.yr.no/sted/Andorra/Encamp/Encamp/varsel.xml	http://www.yr.no/place/Andorra/Encamp/Encamp/forecast.xml
AD	Sant Julià de Lòria	Sant Julià de Lòria	Sant Julià de Lòria	3039192	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	8022	42.46372	1.49129	1045	http://www.yr.no/stad/Andorra/Sant_Julià_de_Lòria/Sant_Julià_de_Lòria/varsel.xml	http://www.yr.no/sted/Andorra/Sant_Julià_de_Lòria/Sant_Julià_de_Lòria/varsel.xml	http://www.yr.no/place/Andorra/Sant_Julià_de_Lòria/Sant_Julià_de_Lòria/forecast.xml
AD	la Massana	la Massana	La Massana	3040142	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	7211	42.54499	1.51483	1257	http://www.yr.no/stad/Andorra/la_Massana/la_Massana/varsel.xml	http://www.yr.no/sted/Andorra/la_Massana/la_Massana/varsel.xml	http://www.yr.no/place/Andorra/la_Massana/La_Massana/forecast.xml
AD	Canillo	Canillo	Canillo	3041204	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	3292	42.56690	1.59556	1640	http://www.yr.no/stad/Andorra/Canillo/Canillo/varsel.xml	http://www.yr.no/sted/Andorra/Canillo/Canillo/varsel.xml	http://www.yr.no/place/Andorra/Canillo/Canillo/forecast.xml
AD	l'Aldosa	l'Aldosa	l'Aldosa	3040140	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	195	42.58333	1.63333	1722	http://www.yr.no/stad/Andorra/Canillo/l'Aldosa/varsel.xml	http://www.yr.no/sted/Andorra/Canillo/l'Aldosa/varsel.xml	http://www.yr.no/place/Andorra/Canillo/l'Aldosa/forecast.xml
